id,property_id,year,month,occupancy,adr,revenue,country,country_code,adm_1_id,adm_2_id,adm_3_id,bathrooms,bedrooms,revpar,fetched_revenue,property_grade
4269316,vrbo_11123604ha,2024,1,0.816666667,765.000130714,228033.78905673986,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,3,4,624.7501070047667,37485.006405,A
1951977,abnb_24820874,2024,1,0.333333333,85.39578,10389.81988961018,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,1,2,28.46525997153474,85.39578,A
3731006,vrbo_11003210ha,2024,1,1.0,1179.38371425,430475.05570125,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,7,7,1179.38371425,70763.022855,A
5291586,abnb_629583819126871294,2024,1,0.169491525,104.1343065,6442.2070809283805,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,1,1,17.64988241350241,1041.343065,A
3731015,vrbo_11002420ha,2024,1,1.0,5379.4444734,1963497.232791,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,11,9,5379.4444734,268972.22367,A
3730985,vrbo_11005071ha,2024,1,1.0,4444.360613571,1622191.623953415,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,7,6,4444.360613571,217773.670065,A
3730989,vrbo_11005065ha,2024,1,1.0,3187.3742535,1163391.6025275,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,8,7,3187.3742535,191242.45521,A
4269389,vrbo_11070559ha,2024,1,1.0,6275.7111906,2290634.584569,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,12,12,6275.7111906,313785.55953,A
1648238,abnb_18622992,2024,1,0.178571429,1796.74713,117109.4114328483,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,8,7,320.84770255574875,17967.4713,A
1851415,abnb_39710797,2024,1,0.228571429,759.530799375,63366.569666669464,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,6,6,173.60704018265605,6076.246395,A
5215563,abnb_843513025059866848,2024,1,1.0,522.585045,190743.541425,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,2,3,522.585045,522.585045,A
3731131,vrbo_10826628ha,2024,1,0.096774194,523.50426,18491.521528229252,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,1,2,50.66170281706644,1570.51278,A
4484159,abnb_1052224737703359184,2024,1,1.0,987.62076,360481.5774,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,2,4,987.62076,8888.58684,A
1762952,abnb_651149152786559281,2024,1,0.25,143.873325,13128.44090625,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,2,2,35.96833125,719.366625,A
3256592,abnb_2551454,2024,1,0.066666667,666.02898,16206.705261033527,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,4,3,44.40193222200966,666.02898,A
