id,property_id,year,month,occupancy,adr,revenue,country,country_code,adm_1_id,adm_2_id,adm_3_id,bathrooms,bedrooms,revpar,fetched_revenue,property_grade
2550910,abnb_28992888,2024,1,0.2,104.888295,7656.845535,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,1,1,20.977659,104.888295,A
904444,abnb_15111831,2024,1,1.0,83.44396,30457.0454,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,1,1,83.44396,250.33188,A
1479374,abnb_668786581372449207,2024,1,1.0,637.445725714,232667.68988561,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,3,3,637.445725714,4462.12008,A
1479424,abnb_664275222931606689,2024,1,1.0,347.15241,126710.62965,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,2,2,347.15241,347.15241,A
1479368,abnb_669206722401155168,2024,1,1.0,230.860330714,84264.02071061,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,2,2,230.860330714,1616.022315,A
2550518,abnb_32900637,2024,1,0.846153846,389.866570909,120408.79091654095,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,2,2,329.8870984014821,4288.53228,A
1648300,abnb_18364863,2024,1,1.0,53.83647,19650.31155,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,1,2,53.83647,376.85529,A
4075132,abnb_902533916456130126,2024,1,0.716666667,2122.381225465,555179.5558194426,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,4,4,1521.0398789573771,91262.392695,A
4269095,vrbo_11460390ha,2024,1,0.333333333,1463.512970769,178060.74459883425,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,7,8,487.83765643516233,19025.66862,A
2283617,abnb_19076319,2024,1,1.0,85.88028,31346.3022,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,1,1,85.88028,171.76056,A
2283491,abnb_19550044,2024,1,0.064516129,84.96666,2000.827798999586,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,1,1,5.48171999725914,169.93332,A
2550868,abnb_29513480,2024,1,0.967741935,179.617692,63445.60407795462,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,2,3,173.82357281631403,5388.53076,A
1664374,abnb_862054589279618497,2024,1,0.603773585,52.534079062,11577.32157622707,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,1,1,31.718689249937178,1681.09053,A
4269181,vrbo_11315653ha,2024,1,1.0,448.58742,163734.4083,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,6,5,448.58742,897.17484,A
1648004,abnb_20620876,2024,1,0.137931034,153.155475,7710.585955771569,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,1,2,21.12489302951115,612.6219,A
5207424,abnb_48607988,2024,1,0.176470588,54.8172,3530.872583527464,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,1,1,9.6736235165136,164.4516,A
1174757,abnb_47711193,2024,1,0.1,60.333975,2202.1900875,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,1,1,6.0333975,60.333975,A
1664280,abnb_870816501670864503,2024,1,0.266666667,293.31594,28549.418195686772,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,3,2,78.21758409777198,1173.26376,A
1204857,abnb_738215856337964131,2024,1,0.2,137.37582,10028.43486,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,1,1,27.475164,549.50328,A
4716126,abnb_24667502,2024,1,0.142857143,154.40178,8050.949965193807,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,1,1,22.05739716491454,308.80356,A
4716339,abnb_23196602,2024,1,1.0,120.827598182,44102.07333643,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,3,3,120.827598182,3987.31074,A
3731268,vrbo_10339256ha,2024,1,1.0,141.0790203,51493.8424095,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,1,1,141.0790203,7053.951015,A
2550498,abnb_33104135,2024,1,1.0,46.59462,17007.0363,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.24_1,1,1,46.59462,1304.64936,A
